position_id,department_id,name_es,name_en,rank,hod_capable,binding,default_grade,existence,jurisdictions,aliases_es,aliases_en
executive.showrunner,executive,Showrunner,Showrunner,5,1,production,manager,core,,showrunner|creador|creadora|creador/escritor,showrunner|creator
executive.executive_producer,executive,Productor Ejecutivo,Executive Producer,10,1,production,manager,core,,productor ejecutivo|productora ejecutiva|ep,executive producer|ep
executive.producer,executive,Productor,Producer,20,0,production,manager,core,,productor|productora,producer
executive.co_producer,executive,Coproductor,Co-Producer,30,0,production,,core,,coproductor|coproductora|productor asociado,co-producer|associate producer
executive.line_producer,executive,Productor en Línea,Line Producer,25,0,production,manager,core,,productor en linea|productora en linea|produccion en linea,line producer
executive.exec_assistant,executive,Asistente Ejecutivo,Executive Assistant,50,0,production,assistant,core,,asistente ejecutivo|asistente ejecutiva|asistente de productor,executive assistant|assistant to producer
writers.head_writer,writers,Jefe de Guion,Head Writer,10,1,production,manager,core,,jefe de guion|jefa de guion|head writer,head writer|showrunner writer
writers.writer,writers,Escritor,Writer,30,0,block,,core,,escritor|escritora|guionista|escritor ep,writer|staff writer|episode writer
writers.script_coordinator,writers,Coordinador de Guiones,Script Coordinator,40,0,production,coordinator,core,,coordinador de guiones|coordinadora de guiones,script coordinator
direction.director,direction,Director,Director,10,1,block,manager,core,,director|directora|director ep|director de episodio,director
direction.first_ad,direction,1er Asistente de Dirección,First AD,20,1,unit,manager,core,,1er ad|1er asistente de direccion|primer asistente de direccion|1st ad,1st ad|first ad|first assistant director
direction.key_second_ad,direction,Key 2nd AD,Key 2nd AD,30,0,unit,key,core,,key 2nd ad|key segundo ad,key 2nd ad|key second ad
direction.second_ad,direction,2do Asistente de Dirección,Second AD,40,0,unit,assistant,core,,2do ad|2nd ad|segundo asistente de direccion,2nd ad|second ad
direction.third_ad,direction,3er Asistente de Dirección,Second Second AD,50,0,unit,assistant,core,,3er ad|2nd 2nd ad|tercer ad|tercer asistente de direccion,2nd 2nd ad|third ad
direction.script_supervisor,direction,Continuidad,Script Supervisor,40,0,unit,key,core,,continuidad|continuista|script,script supervisor|scripty|continuity
direction.set_pa,direction,Asistente de Set,Set PA,60,0,unit,assistant,core,,set pa|pa de set|asistente de set|cast pa|key set pa,set pa|key set pa|set production assistant
casting.casting_director,casting,Director de Casting,Casting Director,10,1,production,manager,core,,director de casting|directora de casting|director de reparto,casting director
casting.casting_coordinator,casting,Coordinador de Casting,Casting Coordinator,30,1,production,coordinator,core,,coordinador de casting|coordinadora de casting,casting coordinator
casting.extras_coordinator,casting,Coordinador de Extras,Extras Casting,30,1,unit,coordinator,core,,coordinador de extras|casting de extras|director de casting extras,extras casting|background casting
casting.cast_supervisor,casting,Supervisor de Elenco,Cast Supervisor,30,0,production,coordinator,core,,supervisor de elenco|supervisora de elenco|wrangler de cast,cast supervisor|talent wrangler
casting.extras_wrangler,casting,Wrangler de Extras,Background Wrangler,50,0,unit,assistant,core,,wrangler de extras|apoyo extras|asistente de extras,background wrangler|bg wrangler
production.upm,production,Gerente de Producción,Unit Production Manager,10,1,unit,manager,core,,gerente de produccion|gerente de produccion fisica|jefe de produccion|upm,unit production manager|upm|production manager
production.unit_manager,production,Gerente de Unidad,Unit Manager,20,1,unit,manager,core,,gerente de unidad|jefe de unidad,unit manager
production.coordinator,production,Coordinador de Producción,Production Coordinator,30,1,production,coordinator,core,,coordinador de produccion|coordinadora de produccion,production coordinator|poc
production.apoc,production,Asistente de Coordinación,APOC,40,0,production,assistant,core,,apoc|asistente coordinador de produccion|asistente de coordinacion,apoc|assistant production coordinator
production.travel_coordinator,production,Coordinador de Viajes,Travel Coordinator,40,0,production,coordinator,core,,coordinador de viajes|coordinadora de viajes,travel coordinator
production.office_pa,production,Asistente de Oficina,Office PA,60,0,production,assistant,core,,asistente de oficina de produccion|office pa|recepcion de produccion,office pa|production office assistant
production.production_assistant,production,Asistente de Producción,Production Assistant,60,0,unit,assistant,core,,asistente de produccion|pa de produccion,production assistant|pa
accounting.accountant,accounting,Contador de Producción,Production Accountant,10,1,production,manager,core,,contador de produccion|contadora de produccion|contador,production accountant|accountant
accounting.first_assistant,accounting,1er Asistente Contable,First Assistant Accountant,40,0,production,key,core,,1er asistente contable|primer asistente contable|1er asst contable,first assistant accountant|1st assistant accountant
accounting.assistant,accounting,Asistente Contable,Assistant Accountant,50,0,production,assistant,core,,asistente contable|asistente de contabilidad|2do asst contable|3er asst contable,assistant accountant|accounting clerk
accounting.payroll,accounting,Nómina,Payroll Accountant,50,0,production,assistant,core,,nomina|contador de nomina,payroll|payroll accountant
camera.dop,camera,Director de Fotografía,Director of Photography,10,1,unit,manager,core,,director de fotografia|directora de fotografia|fotografo|dop|dp,director of photography|dop|dp|cinematographer
camera.operator,camera,Operador de Cámara,Camera Operator,30,0,unit,key,core,,operador de camara|operadora de camara|op cam|camarografo,camera operator|operator|a camera operator
camera.steadicam,camera,Operador de Steadicam,Steadicam Operator,30,0,unit,key,conditional,,steadicam|operador de steadicam,steadicam operator|steadicam
camera.first_ac,camera,1er Asistente de Cámara,First AC,40,0,unit,key,core,,1er ac|primer ac|1er asistente de camara|foquista,1st ac|first ac|focus puller
camera.second_ac,camera,2do Asistente de Cámara,Second AC,50,0,unit,assistant,core,,2do ac|segundo ac|2do asistente de camara|claquetista,2nd ac|second ac|clapper loader
camera.loader,camera,Cargador,Loader,60,0,unit,assistant,conditional,,cargador|loader,loader|film loader
camera.drone_operator,camera,Operador de Drone,Drone Operator,50,0,unit,operator,conditional,,drone|operador de drone|piloto de drone,drone operator|uav pilot
camera.stills,camera,Foto Fija,Stills Photographer,50,0,unit,key,core,,foto fija|fotografo fijo|fotografa fija,stills photographer|unit stills|set photographer
video.dit,video,DIT,DIT,10,1,unit,key,core,,dit|tecnico de imagen digital,dit|digital imaging technician
video.data_manager,video,Data Manager,Data Manager,40,0,unit,operator,core,,data|data manager|data wrangler|dmt,data manager|data wrangler
video.video_assist,video,Video Assist,Video Assist,40,0,unit,operator,core,,video assist|videoasistente|vtr|playback,video assist|playback operator
electric.gaffer,electric,Gaffer,Gaffer,10,1,unit,manager,core,,gaffer|jefe de electricos|jefe electricos|jefe de luces|enc. luces,gaffer|chief lighting technician|clt
electric.rigging_gaffer,electric,Rigging Gaffer,Rigging Gaffer,20,0,unit,manager,conditional,,rigging gaffer|gaffer de rigging,rigging gaffer
electric.best_boy,electric,Best Boy Electric,Best Boy Electric,30,0,unit,key,core,,best boy electric|bb electric|segundo de electricos,best boy electric|best boy|assistant chief lighting technician
electric.board_op,electric,Operador de Consola,Board Operator,50,0,unit,operator,core,,board op|operador de consola|dimmer|consolista,board operator|dimmer board operator
electric.technician,electric,Eléctrico,Set Lighting Technician,60,0,unit,operator,core,,electrico|encargado de luces|encargado de skypanel|encargado de asteras|lamparero,electrician|set lighting technician|lamp operator
electric.genny_operator,electric,Operador de Planta,Genny Operator,60,0,unit,operator,core,,planta|encargado de planta|operador de planta,genny operator|generator operator
grip.key_grip,grip,Key Grip,Key Grip,10,1,unit,manager,core,,key grip|jefe de tramoya|jefe tramoya|jefe de grip,key grip
grip.rigging_key,grip,Rigging Key Grip,Rigging Key Grip,20,0,unit,manager,conditional,,rigging key grip|key grip de rigging|jefe de rigging,rigging key grip
grip.best_boy,grip,Best Boy Grip,Best Boy Grip,30,0,unit,key,core,,best boy grip|bb grip|segundo de tramoya,best boy grip
grip.dolly_grip,grip,Dolly Grip,Dolly Grip,40,0,unit,key,core,,dolly grip|dolly|dollero,dolly grip
grip.grip,grip,Tramoyista,Grip,60,0,unit,operator,core,,grip|tramoyista|tramoya|staff de montaje,grip|company grip
grip.crane_operator,grip,Operador de Grúa,Crane Operator,50,0,unit,operator,conditional,,operador de grua|gruero|tecnocrane,crane operator|technocrane operator
sound.mixer,sound,Sonidista,Production Sound Mixer,10,1,unit,manager,core,,sonidista|sonido directo|mixer|jefe de sonido,production sound mixer|sound mixer|mixer
sound.boom_operator,sound,Microfonista,Boom Operator,40,0,unit,key,core,,microfonista|operador de boom|perchista,boom operator|boom op
sound.utility,sound,Utility de Sonido,Sound Utility,50,0,unit,assistant,core,,utility|cablista|utility de sonido,sound utility|utility|cable person
art.production_designer,art,Diseñador de Producción,Production Designer,10,1,production,manager,core,,diseñador de produccion|diseñadora de produccion,production designer|designer
art.supervising_art_director,art,Director de Arte Supervisor,Supervising Art Director,15,0,production,manager,conditional,,director de arte supervisor|supervisor de arte,supervising art director
art.art_director,art,Director de Arte,Art Director,20,1,unit,manager,core,,director de arte|directora de arte,art director
art.assistant_art_director,art,Asistente de Dirección de Arte,Assistant Art Director,40,0,unit,assistant,core,,asistente de direccion de arte|asistente de director de arte,assistant art director
art.art_coordinator,art,Coordinador de Arte,Art Coordinator,30,1,production,coordinator,core,,coordinador de arte|coordinadora de arte,art coordinator
art.set_designer,art,Dibujante de Arte,Set Designer,40,0,production,key,conditional,,dibujante|set designer|planos,set designer|draftsman
art.concept_artist,art,Ilustrador,Concept Artist,40,0,production,key,conditional,,ilustrador|ilustradora|concept artist|storyboard,concept artist|illustrator|storyboard artist
art.art_assistant,art,Asistente de Arte,Art PA,60,0,unit,assistant,core,,asistente de arte|art pa,art pa|art department assistant
set_dec.set_decorator,set_dec,Ambientador,Set Decorator,10,1,production,manager,core,,ambientador|ambientadora|set decorator|decorador|decoradora,set decorator
set_dec.leadman,set_dec,Leadman,Leadman,30,0,unit,key,core,,leadman|lead man|jefe de ambientacion,leadman|lead man
set_dec.buyer,set_dec,Comprador de Ambientación,Set Dec Buyer,40,0,production,key,core,,comprador de ambientacion|compradora de ambientacion,set dec buyer|buyer
set_dec.on_set_dresser,set_dec,Ambientador de Set,On-Set Dresser,50,0,unit,assistant,core,,ambientador de set|on set dresser|asistente decoracion,on set dresser|set dresser
set_dec.swing_gang,set_dec,Swing Gang,Swing Gang,60,0,unit,operator,core,,swing gang|cuadrilla de ambientacion,swing gang|swing
set_dec.warehouse,set_dec,Encargado de Bodega,Warehouse Manager,50,0,production,operator,core,,encargado de bodega|encargada de bodega|bodeguero,warehouse manager|warehouse
props.prop_master,props,Jefe de Props,Property Master,10,1,unit,manager,core,,jefe de props|jefa de props|utilero jefe|prop master,property master|prop master|props master
props.assistant_props,props,Asistente de Props,Assistant Props,50,0,unit,assistant,core,,asistente de props|utilero|asst props,assistant props|props assistant
props.armorer,props,Armero,Armorer,40,0,unit,key,conditional,,armero|armera|encargado de armas,armorer|weapons master
construction.coordinator,construction,Coordinador de Construcción,Construction Coordinator,10,1,production,coordinator,core,,coordinador de construccion|coordinadora de construccion|constructor|jefe de construccion,construction coordinator|construction manager
construction.foreman,construction,Foreman,Construction Foreman,40,0,unit,key,core,,foreman|capataz|jefe de cuadrilla,foreman|construction foreman
construction.carpenter,construction,Carpintero,Carpenter,60,0,unit,operator,core,,carpintero|carpintera|asst construccion,carpenter|construction
construction.paint_foreman,construction,Jefe de Pintura,Paint Foreman,30,0,unit,key,core,,jefe de pintura|jefa de pintura,paint foreman|key painter|charge scenic
construction.painter,construction,Pintor,Painter,60,0,unit,operator,core,,pintor|pintora|escenografo pintor,painter|scenic painter
greens.greensman,greens,Jardinero de Escena,Greensman,10,1,unit,key,conditional,,jardinero de escena|jardinero|verdes|greensman,greensman|greens|landscaper
greens.greens_assistant,greens,Asistente de Jardinería,Greens Assistant,50,0,unit,assistant,conditional,,asistente de jardineria|ayudante de verdes,greens assistant
costume.costume_designer,costume,Diseñador de Vestuario,Costume Designer,10,1,production,manager,core,,diseñador de vestuario|diseñadora de vestuario,costume designer
costume.supervisor,costume,Supervisor de Vestuario,Costume Supervisor,20,1,production,supervisor,core,,supervisor de vestuario|supervisora de vestuario,costume supervisor|wardrobe supervisor
costume.coordinator,costume,Coordinador de Vestuario,Costume Coordinator,30,1,production,coordinator,core,,coordinador de vestuario|coordinadora de vestuario|jefe de vestuario,costume coordinator
costume.key_costumer,costume,Vestuarista On Set,Key Costumer,40,0,unit,key,core,,vestuarista on set|vestuarista|key costumer,key costumer|set costumer|on set costumer
costume.assistant,costume,Asistente de Vestuario,Costume Assistant,50,0,unit,assistant,core,,asistente de vestuario|asst vestuario|asistente vestuario,costume assistant|wardrobe assistant
costume.buyer,costume,Comprador de Vestuario,Costume Buyer,50,0,production,key,core,,comprador de vestuario|compradora de vestuario|shopper,costume buyer|shopper
costume.tailor,costume,Sastre,Tailor,60,0,production,operator,core,,sastre|sastreria|jefa de sastreria|costurero|costurera,tailor|seamstress|cutter fitter
costume.ager_dyer,costume,Envejecedor,Ager/Dyer,60,0,production,operator,conditional,,envejecedor|envejecimiento|tenido,ager|dyer|ager/dyer
